Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
7367,,,4121027278,0,19-03-2022,156.42,,Coolberg Strawberry,139.68,6.00%,8.37,6.00%,8.37,-,-,-,-,-,-,27,PC,2,79,Cash
7368,,,4121027279,0,19-03-2022,25,,Potato Biscut,25,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,25,Cash
7369,,zeta,4121027280,0,19-03-2022,40,2201,Kinley Packaged Drinking Water 1 Ltr,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,2,20,Cash
7370,,,4121027281,0,19-03-2022,60,,Apple S,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
7371,,,4121027282,0,19-03-2022,664,20055900,American Garden Baked Beans 420g,120.54,6.00%,7.23,6.00%,7.23,-,-,-,-,-,-,27,PC,1,135,Cash
7372,,,4121027282,0,19-03-2022,664,,Shreenath Broccoli,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
7373,,,4121027282,0,19-03-2022,664,22029030,Hersheys Syrup Chocolate Flavor 623 Gm,186.46,9.00%,16.77,9.00%,16.77,-,-,-,-,-,-,27,PC,1,220,Cash
7374,,,4121027282,0,19-03-2022,664,1904,Kelloggs Corn Flakes 250 Gms,94.3,2.50%,2.35,2.50%,2.35,-,-,-,-,-,-,27,PC,1,99,Cash
7375,,,4121027282,0,19-03-2022,664,22029030,Maaza Pet 250Ml,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,2,20,Cash
7376,,,4121027282,0,19-03-2022,664,,Fiesta French Bread,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
7377,,,4121027282,0,19-03-2022,664,, Fiesta Garlic Bread,55,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,55,Cash
7378,,,4121027282,0,19-03-2022,664,210690,Cornitos Nacho Crisps - Sizzlin Jalapeno 60 Gm Pouch,31.26,6.00%,1.87,6.00%,1.87,-,-,-,-,-,-,27,PC,1,35,Cash
7379,,,4121027283,0,19-03-2022,40,20098910,PB Orange,17.86,6.00%,1.07,6.00%,1.07,-,-,-,-,-,-,27,PC,1,20,Cash
7380,,,4121027283,0,19-03-2022,40,20098910,Paper Boat Lychee ras,17.86,6.00%,1.07,6.00%,1.07,-,-,-,-,-,-,27,PC,1,20,Cash
7381,,,4121027284,0,19-03-2022,120,,Shreenath Cherry Tomato Red,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
7382,,,4121027284,0,19-03-2022,120,17041000,Fusen gum,35.72,6.00%,2.14,6.00%,2.14,-,-,-,-,-,-,27,PC,4,10,Cash
7383,,,4121027284,0,19-03-2022,120,220210,Coca-Cola 750Ml,28.6,14.00%,3.99,14.00%,3.99,-,-,12.00%,3.42,-,-,27,PC,1,40,Cash
7384,,,4121027285,0,19-03-2022,212,,Fruit Vegetables,212,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,212,Cash
7385,,,4121027286,0,19-03-2022,2952,1806,Ferrero Rocher 3T 37.5gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
7386,,,4121027286,0,19-03-2022,2952,1806,Confetteria Raffaello Chocolate 30 Gms,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
7387,,,4121027286,0,19-03-2022,2952,,Frubee Jar daily,276.8,6.00%,16.6,6.00%,16.6,-,-,-,-,-,-,27,PC,1,310,Cash
7388,,,4121027286,0,19-03-2022,2952,20089999,Rostaa Medjool Dates 680 gm,1350,6.00%,81,6.00%,81,-,-,-,-,-,-,27,PC,1,1512,Cash
7389,,,4121027286,0,19-03-2022,2952,,Frubee California Walnuts in Shell 250 Gm,723.82,2.50%,18.09,2.50%,18.09,-,-,-,-,-,-,27,PC,1,760,Cash
7390,,,4121027286,0,19-03-2022,2952,,Hersheys Cookies & Cream ,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
7391,,,4121027286,0,19-03-2022,2952,2007,Weikfield Orange Flavour Jelly 90Gms,40.18,6.00%,2.41,6.00%,2.41,-,-,-,-,-,-,27,PC,1,45,Cash
7392,,,4121027286,0,19-03-2022,2952,2106,Weikfiled Custard Strawberry 100 Gms Corton,38.1,2.50%,0.95,2.50%,0.95,-,-,-,-,-,-,27,PC,1,40,Cash
7393,,,4121027286,0,19-03-2022,2952,19059031,Oya 12 Gm Plpch Wafer Roll Chocolate Flavour Cigarku,8.48,9.00%,0.76,9.00%,0.76,-,-,-,-,-,-,27,PC,1,10,Cash
7394,,,4121027287,0,19-03-2022,40,,Kw Cornetto Double Chocolate's,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,1,40,Cash
7395,,,4121027288,0,19-03-2022,195,,Fruit Vegetables,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
7396,,,4121027288,0,19-03-2022,195,,Shreenath Pakchoy,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
7397,,,4121027288,0,19-03-2022,195,,Hersheys Cookies & Cream ,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
7398,,,4121027288,0,19-03-2022,195,1905,Fiesta Multi Cereal Bread,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
7399,,,4121027288,0,19-03-2022,195,17049020,Zubi Lollies 30 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7400,,,4121027289,0,19-03-2022,225,,kerla tapicoa,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
7401,,,4121027289,0,19-03-2022,225,220210,Coca Cola 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7402,,,4121027289,0,19-03-2022,225,21069019,Thums Up Soft Drink 250 Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7403,,,4121027289,0,19-03-2022,225,,Oreo Bisc.Chocolate 137 gm,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
7404,,,4121027290,0,19-03-2022,40,,Fruit Vegetables,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
7405,,,4121027291,0,19-03-2022,630,3402,Kinley 500 Ml Water Bottle,8.48,9.00%,0.76,9.00%,0.76,-,-,-,-,-,-,27,PC,1,10,Cash
7406,,,4121027291,0,19-03-2022,630,405,Impact Blueberry Yoghurt Mint,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
7407,,,4121027291,0,19-03-2022,630,17049090,Impact Strong Mnt 14 gm,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
7408,,,4121027291,0,19-03-2022,630,,Continental mocha,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,3,20,Cash
7409,,,4121027291,0,19-03-2022,630,,This ,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,3,10,Cash
7410,,,4121027291,0,19-03-2022,630,,Continental Hazelnut,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,20,Cash
7411,,,4121027291,0,19-03-2022,630,,Continental Caramel 22,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,20,Cash
7412,,,4121027291,0,19-03-2022,630,,This is Creamy coffee,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,10,Cash
7413,,,4121027291,0,19-03-2022,630,,CB Nutty Hezelnut,190,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,190,Cash
7414,,,4121027292,0,19-03-2022,320,1806,Ferrero Rocher 3T 37.5gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
7415,,,4121027292,0,19-03-2022,320,,Continental FD Premium 50 Gm,169.5,9.00%,15.25,9.00%,15.25,-,-,-,-,-,-,27,PC,1,200,Cash
7416,,,4121027293,0,19-03-2022,220,220210,Fanta 750Ml,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,1,40,Cash
7417,,,4121027293,0,19-03-2022,220,210690,Cornito Thai Swet Chli Nachos Chps 150G,160.72,6.00%,9.64,6.00%,9.64,-,-,-,-,-,-,27,PC,2,90,Cash
7418,,,4121027294,0,19-03-2022,299,,SE Colombian Brew Cold Coffee Brew Dips,284.78,2.50%,7.11,2.50%,7.11,-,-,-,-,-,-,27,PC,1,299,Cash
7419,,,4121027295,0,19-03-2022,20,22029030,Minute Maid Mixed Fruit Pet 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7420,,,4121027296,0,19-03-2022,20,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7421,,,4121027297,0,19-03-2022,90,17049020,Zubi Lollies Candy Rocks 20 gm,80.36,6.00%,4.82,6.00%,4.82,-,-,-,-,-,-,27,PC,3,30,Cash
7422,,,4121027298,0,19-03-2022,160,3402,Kinley 500 Ml Water Bottle,8.48,9.00%,0.76,9.00%,0.76,-,-,-,-,-,-,27,PC,1,10,Cash
7423,,,4121027298,0,19-03-2022,160,,SKITTLES WILDBERRY 45G,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
7424,,,4121027298,0,19-03-2022,160,22029030,Maaza Pet 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7425,,,4121027298,0,19-03-2022,160,403,Epigamia Greek Yogurt Wild Raspberry 90G,47.62,2.50%,1.19,2.50%,1.19,-,-,-,-,-,-,27,PC,1,50,Cash
7426,,,4121027299,0,19-03-2022,20,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7427,,,4121027300,0,19-03-2022,80,,Kitkat White,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
7428,,,4121027301,0,19-03-2022,140,20098910,PB Orange,17.86,6.00%,1.07,6.00%,1.07,-,-,-,-,-,-,27,PC,1,20,Cash
7429,,,4121027301,0,19-03-2022,140,20098910,Paper Boat Lychee ras,17.86,6.00%,1.07,6.00%,1.07,-,-,-,-,-,-,27,PC,1,20,Cash
7430,,,4121027301,0,19-03-2022,140,,PB Anar,35.72,6.00%,2.14,6.00%,2.14,-,-,-,-,-,-,27,PC,1,40,Cash
7431,,,4121027301,0,19-03-2022,140,22029030,PB Aam Panna  250Ml,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7432,,,4121027301,0,19-03-2022,140,22029030,PB Jaljeera 250 Ml ,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7433,,,4121027302,0,19-03-2022,65,,Royal Kulfi,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
7434,,,4121027303,0,19-03-2022,65,,BATOOK SPACEMINT,25,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,25,Cash
7435,,,4121027303,0,19-03-2022,65,22029030,Sting energy,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,20,Cash
7436,,,4121027304,0,19-03-2022,130,,Campfire Marshmallow,130,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,130,Cash
7437,,,4121027305,0,19-03-2022,150,,Food,25,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,25,Cash
7438,,,4121027305,0,19-03-2022,150,21050000,Baskin Robbins Stick Vanilla N Choc 65Ml,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
7439,,,4121027305,0,19-03-2022,150,,Bakin Robbins Mava Kulfiee,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
7440,,,4121027306,0,19-03-2022,130,,Royal Kulfi,130,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,65,Cash
7441,,,4121027307,0,19-03-2022,574,,Fruit Vegetables,224,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,224,Cash
7442,,,4121027307,0,19-03-2022,574,220210,Sprite Soft Drink Bt 750Ml,28.6,14.00%,3.99,14.00%,3.99,-,-,12.00%,3.42,-,-,27,PC,1,40,Cash
7443,,,4121027307,0,19-03-2022,574,220210,Thums Up 750Ml,28.6,14.00%,3.99,14.00%,3.99,-,-,12.00%,3.42,-,-,27,PC,1,40,Cash
7444,,,4121027307,0,19-03-2022,574,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7445,,,4121027307,0,19-03-2022,574,205,Yummiez Chicken Garlic Fingers 400 Gms,223.22,6.00%,13.39,6.00%,13.39,-,-,-,-,-,-,27,PC,1,250,Cash
7446,,Dunzo,4121027308,0,19-03-2022,475,1902,Nongshim Ramyun Shin Soup Noodle,424.12,6.00%,25.44,6.00%,25.44,-,-,-,-,-,-,27,PC,1,475,Cash
7447,,,4121027309,0,19-03-2022,5,,Fruit Vegetables,5,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,5,Cash
7448,,,4121027310,0,19-03-2022,79,,coolberg cranberry flavour,70.54,6.00%,4.23,6.00%,4.23,-,-,-,-,-,-,27,PC,1,79,Cash
7449,,,4121027311,0,19-03-2022,126,,Black Crown Wet Fard 500 gm,112.5,6.00%,6.75,6.00%,6.75,-,-,-,-,-,-,27,PC,1,126,Cash
7450,,,4121027312,0,19-03-2022,65,210,Mogu Mogu Lychee Juice Drink 300ml,58.04,6.00%,3.48,6.00%,3.48,-,-,-,-,-,-,27,PC,1,65,Cash
7451,,,4121027313,0,19-03-2022,25,,Snicker Fruit & Nut 25 Gm,21.2,9.00%,1.9,9.00%,1.9,-,-,-,-,-,-,27,PC,1,25,Cash
7452,,,4121027314,0,19-03-2022,120,1806,Max Protein Choco Fudge 57gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
7453,,,4121027315,0,19-03-2022,304,,Samyang Hot Chicken Ramen Jjajang 140 Gm,111.62,6.00%,6.69,6.00%,6.69,-,-,-,-,-,-,27,PC,1,125,Cash
7454,,,4121027315,0,19-03-2022,304,,Pocky,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
7455,,,4121027315,0,19-03-2022,304,,Artisna Lychee Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
7456,,,4121027316,0,19-03-2022,547,,monster,199,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,199,Cash
7457,,,4121027316,0,19-03-2022,547,1902,Nongshim Ramyun Shin Soup Noodle,97.34,6.00%,5.83,6.00%,5.83,-,-,-,-,-,-,27,PC,1,109,Cash
7458,,,4121027316,0,19-03-2022,547,,samyang carbonara,135,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,135,Cash
7459,,,4121027316,0,19-03-2022,547,,Zazzy,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
7460,,,4121027316,0,19-03-2022,547,,Artisna Grape Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
7461,,,4121027317,0,19-03-2022,350,1806,Lindt Swiss Classic Dark 100gm,296.62,9.00%,26.69,9.00%,26.69,-,-,-,-,-,-,27,PC,1,350,Cash
7462,,,4121027318,0,19-03-2022,110,,SKITTLES WILDBERRY 45G,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
7463,,,4121027318,0,19-03-2022,110,17049090,Sour Punk Cola 40 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7464,,,4121027319,0,19-03-2022,20,220210,Coca Cola 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7465,,,4121027320,0,19-03-2022,20,22029030,Maaza Pet 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7466,,,4121027321,0,19-03-2022,210,,Kwality,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
7467,,,4121027321,0,19-03-2022,210,22029030,PB Aamras Drink 250 Ml,53.58,6.00%,3.21,6.00%,3.21,-,-,-,-,-,-,27,PC,2,30,Cash
7468,,,4121027321,0,19-03-2022,210,,MR Makhana Cream Onion,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
7469,,,4121027322,0,19-03-2022,225,,Kw Oreo Disc,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
7470,,,4121027322,0,19-03-2022,225,,Kwality,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,30,Cash
7471,,,4121027322,0,19-03-2022,225,17049020,Zubi Lollies 30 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7472,,,4121027322,0,19-03-2022,225,1806,Zubi Lolly,35.72,6.00%,2.14,6.00%,2.14,-,-,-,-,-,-,27,PC,1,40,Cash
7473,,,4121027322,0,19-03-2022,225,17049020,Zubi Lollies Candy Rocks 20 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7474,,,4121027323,0,19-03-2022,30,2103,Weikfield White Pasta Sauce 25G,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7475,,,4121027324,0,19-03-2022,70,,Galaxy Smooth Milk,59.34,9.00%,5.33,9.00%,5.33,-,-,-,-,-,-,27,PC,1,70,Cash
7476,,,4121027325,0,19-03-2022,515,,kerla tapicoa,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
7477,,,4121027325,0,19-03-2022,515,21069099,Doublemint Pepermint  Bottle,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
7478,,,4121027325,0,19-03-2022,515,,TATA Spicy Chicken Biryani,105.94,9.00%,9.53,9.00%,9.53,-,-,-,-,-,-,27,PC,1,125,Cash
7479,,,4121027325,0,19-03-2022,515,3402,Skin Cottage [Bdywsh] 400 Ml Plb Fruity Essence S.Gel Aromathy,233.06,9.00%,20.97,9.00%,20.97,-,-,-,-,-,-,27,PC,1,275,Cash
7480,,,4121027326,0,19-03-2022,40,2105,Kwality Walls Feast Choco Bar 70Ml ,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,2,20,Cash
7481,,Dunzo,4121027327,0,19-03-2022,980,2008,Rostaa Berrylicious 200 gm,571.44,6.00%,34.28,6.00%,34.28,-,-,-,-,-,-,27,PC,2,320,Cash
7482,,Dunzo,4121027327,0,19-03-2022,980,4031000,Epigamia Greek Yogurt Natural 400G,190.48,2.50%,4.76,2.50%,4.76,-,-,-,-,-,-,27,PC,1,200,Cash
7483,,Dunzo,4121027327,0,19-03-2022,980,,Epigamia Greek Yogurt Nas -Mixed Berries,133.34,2.50%,3.33,2.50%,3.33,-,-,-,-,-,-,27,PC,2,70,Cash
7484,,,4121027328,0,19-03-2022,75,,Fruit Vegetables,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
7485,,,4121027328,0,19-03-2022,75,,Shreenath Cherry Tomato Red,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
7486,,,4121027329,0,19-03-2022,30,22029030,PB Aamras Drink 250 Ml,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7487,,,4121027330,0,19-03-2022,505,,Fruit Vegetables,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
7488,,,4121027330,0,19-03-2022,505,9109100,Shan Chicken Masala 50 gm,142.86,2.50%,3.57,2.50%,3.57,-,-,-,-,-,-,27,PC,2,75,Cash
7489,,,4121027330,0,19-03-2022,505,22029030,Hersheys Almond spreads,250,9.00%,22.5,9.00%,22.5,-,-,-,-,-,-,27,PC,1,295,Cash
7490,,,4121027330,0,19-03-2022,505,20098910,Jaljeera,17.86,6.00%,1.07,6.00%,1.07,-,-,-,-,-,-,27,PC,1,20,Cash
7491,,,4121027331,0,19-03-2022,305,,Monster,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
7492,,,4121027331,0,19-03-2022,305,,Heinken Non Alcohol Bottle,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
7493,,,4121027331,0,19-03-2022,305,1806,Dukes Waffy Strewberry Roll,63.56,9.00%,5.72,9.00%,5.72,-,-,-,-,-,-,27,PC,1,75,Cash
7494,,,4121027332,0,19-03-2022,195,220210,Sprite Fridge Pack 1 25L Pack Of 2,139.31,14.00%,19.49,14.00%,19.49,-,-,12.00%,16.71,-,-,27,PC,3,65,Cash
7495,,,4121027333,0,19-03-2022,1268,,Fruit Vegetables,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
7496,,,4121027333,0,19-03-2022,1268,2007,Real Thai Coconut Milk Lite 400ml,133.04,6.00%,7.98,6.00%,7.98,-,-,-,-,-,-,27,PC,1,149,Cash
7497,,,4121027333,0,19-03-2022,1268,,Real Thai Coconut Milk,160.72,6.00%,9.64,6.00%,9.64,-,-,-,-,-,-,27,PC,2,90,Cash
7498,,,4121027333,0,19-03-2022,1268,21039090,Realthai Tomkha,62.5,6.00%,3.75,6.00%,3.75,-,-,-,-,-,-,27,PC,1,70,Cash
7499,,,4121027333,0,19-03-2022,1268,2103,Thai Red Curry paste 50 gm,62.5,6.00%,3.75,6.00%,3.75,-,-,-,-,-,-,27,PC,1,70,Cash
7500,,,4121027333,0,19-03-2022,1268,2103,Red Thai Green Curry Paste 50 gm,62.5,6.00%,3.75,6.00%,3.75,-,-,-,-,-,-,27,PC,1,70,Cash
7501,,,4121027333,0,19-03-2022,1268,,Real Thai Fish Sauce,177.68,6.00%,10.66,6.00%,10.66,-,-,-,-,-,-,27,PC,1,199,Cash
7502,,,4121027333,0,19-03-2022,1268,2103,Zorabian Chicken Breast Bonless 450gm,260,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,260,Cash
7503,,,4121027333,0,19-03-2022,1268,1806,Yoga Bar Baked Brownie 60 g,211.88,9.00%,19.06,9.00%,19.06,-,-,-,-,-,-,27,PC,2,125,Cash
7504,,,4121027334,0,19-03-2022,30,17049020,Zubi Lollies Candy Rocks 20 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
7505,,,4121027335,0,19-03-2022,70,2105,Kwality Walls Feast Choco Bar 70Ml ,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7506,,,4121027335,0,19-03-2022,70,2105,Kwality Walls Feast Chocolate 62gm,25.44,9.00%,2.28,9.00%,2.28,-,-,-,-,-,-,27,PC,1,30,Cash
7507,,,4121027335,0,19-03-2022,70,1806,Snickers Chocolate 25Gm,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7508,,,4121027336,0,19-03-2022,1494.5,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
7509,,,4121027336,0,19-03-2022,1494.5,210690,Pringles Original 165 G,205.36,6.00%,12.32,6.00%,12.32,-,-,-,-,-,-,27,PC,1,230,Cash
7510,,,4121027336,0,19-03-2022,1494.5,210690,Pringle Salt&Vinegar 165G,205.36,6.00%,12.32,6.00%,12.32,-,-,-,-,-,-,27,PC,1,230,Cash
7511,,,4121027336,0,19-03-2022,1494.5,405,Amul Pasteurised Butter Tub 200G,91.08,6.00%,5.46,6.00%,5.46,-,-,-,-,-,-,27,PC,1,102,Cash
7512,,,4121027336,0,19-03-2022,1494.5,1806,Amul Dark Chocolate 150 Gms,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
7513,,,4121027336,0,19-03-2022,1494.5,1102,Pro Nature Organic Staples Basen 500 Gms,91.44,2.50%,2.28,2.50%,2.28,-,-,-,-,-,-,27,PC,1,96,Cash
7514,,,4121027336,0,19-03-2022,1494.5,904,Snapin Chilly Flakes Spice 35 Gm,61.92,2.50%,1.54,2.50%,1.54,-,-,-,-,-,-,27,PC,1,65,Cash
7515,,,4121027336,0,19-03-2022,1494.5,2106,Snapin Oregano Herb 25g,75.24,2.50%,1.88,2.50%,1.88,-,-,-,-,-,-,27,PC,1,79,Cash
7516,,,4121027336,0,19-03-2022,1494.5,1905,Fiesta Brown Bread 400G,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
7517,,,4121027336,0,19-03-2022,1494.5,1509,Gaia 1 L Plbot Extra Light Olive Coil,488.1,2.50%,12.2,2.50%,12.2,-,-,-,-,-,-,27,PC,1,512.5,Cash
7518,,,4121027337,0,19-03-2022,933,,Punpkin Seeds 100 gm,98.22,6.00%,5.89,6.00%,5.89,-,-,-,-,-,-,27,PC,1,110,Cash
7519,,,4121027337,0,19-03-2022,933,,Shan Biryani Masala,75,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,75,Cash
7520,,,4121027337,0,19-03-2022,933,3303,Armaf,211.88,9.00%,19.06,9.00%,19.06,-,-,-,-,-,-,27,PC,1,250,Cash
7521,,,4121027337,0,19-03-2022,933,,Harima Ice Cream Mix,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
7522,,,4121027337,0,19-03-2022,933,210690,Bikaji Soan Papdi Man Bhawan 500Gms,110.18,9.00%,9.91,9.00%,9.91,-,-,-,-,-,-,27,PC,1,130,Cash
7523,,,4121027337,0,19-03-2022,933,,Harveys Mango Essence 28 Ml,50,9.00%,4.5,9.00%,4.5,-,-,-,-,-,-,27,PC,1,59,Cash
7524,,,4121027337,0,19-03-2022,933,2106,Keya Chilly Flakes ,75.24,2.50%,1.88,2.50%,1.88,-,-,-,-,-,-,27,PC,1,79,Cash
7525,,,4121027337,0,19-03-2022,933,,Sudhama Misal Farsan,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
7526,,,4121027337,0,19-03-2022,933,,Mai Pav Bhaji,70,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,70,Cash
7527,,,4121027338,0,19-03-2022,85,2105,Kwality Walls Feast Choco Bar 70Ml ,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
7528,,,4121027338,0,19-03-2022,85,,Royal Kulfi,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
7529,,,4121027339,0,19-03-2022,78,17011310,Pro Nature Brown Sugar 500Gms,74.3,2.50%,1.85,2.50%,1.85,-,-,-,-,-,-,27,PC,1,78,Cash
7530,,,4121027340,0,19-03-2022,510,,Campfire Marshmallow,260,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,130,Cash
