Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
105,,,4121025035,0,01-03-2022,310,2008,Kerala Chilli Banana Chips 250 VM,138.1,2.50%,3.45,2.50%,3.45,-,-,-,-,-,-,27,PC,1,145,Cash
106,,,4121025036,0,01-03-2022,80,2106,Amul Kool Koko Can  200 Ml,50.86,9.00%,4.57,9.00%,4.57,-,-,-,-,-,-,27,PC,2,30,Cash
107,,,4121025036,0,01-03-2022,80,,Amul kool Rose,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
108,,Dunzo,4121025037,0,01-03-2022,150,69099,SPT Soya Chaap 500 Gm,142.86,2.50%,3.57,2.50%,3.57,-,-,-,-,-,-,27,PC,1,150,Cash
109,,,4121025038,0,01-03-2022,53,,Fruit Vegetables,53,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,53,Cash
110,,,4121025039,0,01-03-2022,605,205,Yummiez Chicken Chilli Sausg 250G,129.48,6.00%,7.76,6.00%,7.76,-,-,-,-,-,-,27,PC,1,145,Cash
111,,,4121025039,0,01-03-2022,605,205,Yummiez Chicken Plain Salami 250G,133.94,6.00%,8.03,6.00%,8.03,-,-,-,-,-,-,27,PC,1,150,Cash
112,,,4121025039,0,01-03-2022,605,710,Mccain Veggie Fingers 400Gm,116.08,6.00%,6.96,6.00%,6.96,-,-,-,-,-,-,27,PC,1,130,Cash
113,,,4121025039,0,01-03-2022,605,210690,Mccain Cheese corn samosa,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
114,,,4121025039,0,01-03-2022,605,22029030,PB Chilli Guava,53.58,6.00%,3.21,6.00%,3.21,-,-,-,-,-,-,27,PC,2,30,Cash
115,,,4121025040,0,01-03-2022,40,220210,Coca-Cola 750Ml,28.6,14.00%,3.99,14.00%,3.99,-,-,12.00%,3.42,-,-,27,PC,1,40,Cash
116,,,4121025041,0,01-03-2022,415,,Skittles,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
117,,,4121025041,0,01-03-2022,415,,Lollypop candy,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
118,,,4121025041,0,01-03-2022,415,22029030,Real Fruit Juice Guava Fruit Power 1Ltr,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,1,100,Cash
119,,,4121025041,0,01-03-2022,415,22029030,Tropicana Mango Juice 1Ltr,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,1,100,Cash
120,,,4121025041,0,01-03-2022,415,22029030,Tropicana Pineapple Juice 1Ltr,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,1,100,Cash
121,,,4121025042,0,01-03-2022,80,,Rite Bite Max Protean Cookies Nuts & Seeds 55 Gm,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,1,40,Cash
